0	2
0	3
0	4
0	7
0	13
0	23
0	24
0	26
0	27
0	28
0	33
0	35
0	37
0	38
0	41
0	48
1	9
1	12
1	16
1	19
2	3
2	7
2	8
2	13
2	23
2	24
2	26
2	28
2	37
2	41
2	48
3	4
3	8
3	20
3	23
3	24
3	26
3	27
3	28
3	33
3	35
3	37
3	38
3	41
3	48
4	7
4	8
4	13
4	23
4	24
4	27
4	28
4	33
4	38
4	41
4	48
4	49
5	10
5	14
5	17
5	21
6	11
6	15
6	18
6	22
7	8
7	23
7	24
7	26
7	28
7	33
7	35
7	37
7	38
7	41
7	49
8	13
8	23
8	24
8	26
8	27
8	28
8	35
8	37
8	38
8	48
9	12
9	16
9	19
10	14
10	17
10	21
11	18
11	22
12	16
12	19
13	23
13	26
13	27
13	28
13	33
13	35
13	37
13	38
13	49
14	17
14	21
15	18
15	22
16	19
17	21
18	22
20	23
20	24
20	28
20	33
20	35
20	37
20	41
20	49
23	24
23	26
23	27
23	37
23	38
23	49
24	26
24	27
24	35
24	37
24	38
24	41
24	49
25	31
25	36
25	42
25	45
26	27
26	28
26	35
26	37
26	41
26	48
26	49
27	28
27	33
27	35
27	37
27	38
27	41
27	48
27	49
28	33
28	38
28	41
28	48
28	49
29	32
29	39
29	43
29	46
30	40
30	44
30	47
31	42
31	45
32	39
32	43
32	46
33	35
33	38
33	41
34	40
34	47
35	37
35	38
35	41
35	48
35	49
36	42
36	45
37	41
37	49
38	41
38	48
39	43
39	46
40	44
40	47
41	48
41	49
42	45
43	46
44	47
48	49
